arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Timestamp
-0.00446,-1.32164,2.29593,0.06292,-1.81996,-0.05727,0.49999,-0.01386,0.17677,1713996072
-0.00444,-1.32166,2.29594,0.06294,-1.81996,-0.05728,0.49998,-0.01385,0.17678,1713996072
-0.00446,-1.32165,2.29595,0.06294,-1.81994,-0.05726,0.49998,-0.01386,0.17676,1713996072
-0.00445,-1.32166,2.29593,0.06292,-1.81995,-0.05728,0.49998,-0.01385,0.17678,1713996072
-0.00446,-1.32167,2.29594,0.06293,-1.81996,-0.05727,0.49998,-0.01386,0.17678,1713996072
-0.00444,-1.32170,2.29603,0.06292,-1.81995,-0.05727,0.49996,-0.01385,0.17676,1713996073
-0.00449,-1.32180,2.29627,0.06294,-1.81971,-0.05726,0.49994,-0.01387,0.17667,1713996073
-0.00455,-1.32206,2.29666,0.06293,-1.81861,-0.05724,0.49999,-0.01391,0.17649,1713996073
-0.00458,-1.32652,2.29989,0.06293,-1.81110,-0.05724,0.49980,-0.01394,0.17638,1713996073
-0.00457,-1.35034,2.30993,0.06292,-1.75711,-0.05719,0.50164,-0.01408,0.17674,1713996073
-0.00460,-1.39386,2.32566,0.06294,-1.66307,-0.05724,0.50401,-0.01425,0.17830,1713996074
-0.00457,-1.46034,2.34920,0.06291,-1.51802,-0.05720,0.50594,-0.01425,0.17884,1713996074
-0.00458,-1.53065,2.37380,0.06291,-1.36729,-0.05723,0.50518,-0.01398,0.17767,1713996074
-0.00453,-1.62957,2.40725,0.06291,-1.15356,-0.05724,0.49999,-0.01309,0.17267,1713996074
-0.00454,-1.72312,2.44141,0.06291,-0.95375,-0.05724,0.48971,-0.01181,0.16350,1713996074
-0.00453,-1.79628,2.46691,0.06291,-0.79481,-0.05726,0.47878,-0.01048,0.15437,1713996075
-0.00449,-1.85652,2.48874,0.06292,-0.66613,-0.05725,0.46750,-0.00922,0.14562,1713996075
-0.00449,-1.88975,2.49946,0.06293,-0.59056,-0.05727,0.46072,-0.00843,0.14024,1713996075
-0.00446,-1.90798,2.50747,0.06291,-0.55327,-0.05727,0.45640,-0.00801,0.13679,1713996075
-0.00446,-1.90938,2.50724,0.06293,-0.54643,-0.05728,0.45617,-0.00793,0.13622,1713996075
-0.00446,-1.90937,2.50703,0.06291,-0.54637,-0.05726,0.45621,-0.00793,0.13633,1713996076
