arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
0.87620,-0.31514,1.68683,-1.90802,0.64171,2.79003,0.42801,0.34418,-0.42573,-0.00282,0.40965,-0.04849,0.91095,1739074589
0.87611,-0.31482,1.68676,-1.90831,0.64175,2.79017,0.42799,0.34409,-0.42588,-0.00291,0.40968,-0.04848,0.91093,1739074589
0.87595,-0.31425,1.68633,-1.90859,0.64172,2.79029,0.42805,0.34404,-0.42609,-0.00294,0.40971,-0.04848,0.91092,1739074589
0.82492,-0.46679,1.79621,-1.78937,0.56189,2.58485,0.43103,0.31949,-0.38094,-0.02796,0.44647,-0.05434,0.89271,1739074590
0.62726,-0.95119,1.92135,-1.48869,0.36067,1.73242,0.50892,0.28536,-0.17476,-0.11738,0.43396,0.06368,0.89098,1739074590
0.39712,-1.55260,2.16655,-0.71462,0.03425,0.74815,0.49217,0.20231,0.04340,-0.04971,0.31053,0.17157,0.93363,1739074590
0.38196,-1.54096,2.26004,-0.62546,0.02805,0.68087,0.46737,0.18499,-0.00978,-0.04622,0.35987,0.15945,0.91811,1739074590
0.40718,-1.28817,2.32257,-0.62543,0.02686,0.68059,0.41863,0.17792,-0.15854,-0.08228,0.49712,0.15430,0.84988,1739074590
0.38307,-1.17302,2.48309,-0.62395,0.02054,0.68076,0.32280,0.12827,-0.25113,-0.09877,0.60769,0.12811,0.77752,1739074591
0.38613,-1.16308,2.46524,-0.62322,0.02092,0.68061,0.32935,0.13203,-0.25074,-0.09887,0.60464,0.12956,0.77965,1739074591
0.38611,-1.16309,2.46534,-0.62316,0.02081,0.68061,0.32932,0.13203,-0.25075,-0.09882,0.60465,0.12956,0.77965,1739074591
0.38608,-1.16308,2.46531,-0.62317,0.02082,0.68063,0.32933,0.13202,-0.25075,-0.09881,0.60464,0.12954,0.77965,1739074591
0.38608,-1.16307,2.46530,-0.62317,0.02082,0.68063,0.32933,0.13202,-0.25075,-0.09881,0.60465,0.12954,0.77965,1739074591
0.38611,-1.16309,2.46529,-0.62317,0.02082,0.68065,0.32934,0.13203,-0.25074,-0.09881,0.60464,0.12955,0.77966,1739074592
0.38610,-1.16307,2.46529,-0.62317,0.02083,0.68062,0.32934,0.13203,-0.25075,-0.09882,0.60464,0.12955,0.77965,1739074592
0.38609,-1.16308,2.46529,-0.62318,0.02082,0.68059,0.32934,0.13203,-0.25075,-0.09883,0.60463,0.12957,0.77966,1739074592
0.38611,-1.16307,2.46530,-0.62317,0.02082,0.68061,0.32933,0.13203,-0.25075,-0.09883,0.60464,0.12956,0.77965,1739074592
0.38610,-1.16307,2.46531,-0.62317,0.02082,0.68063,0.32933,0.13203,-0.25076,-0.09882,0.60465,0.12955,0.77965,1739074592
0.38611,-1.16308,2.46530,-0.62316,0.02081,0.68061,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77966,1739074593
0.38608,-1.16309,2.46530,-0.62317,0.02082,0.68064,0.32934,0.13202,-0.25075,-0.09881,0.60464,0.12954,0.77966,1739074593
0.38610,-1.16307,2.46531,-0.62316,0.02082,0.68064,0.32932,0.13203,-0.25076,-0.09881,0.60465,0.12954,0.77965,1739074593
0.38610,-1.16308,2.46531,-0.62315,0.02079,0.68064,0.32933,0.13203,-0.25075,-0.09880,0.60464,0.12955,0.77966,1739074593
0.38610,-1.16309,2.46531,-0.62316,0.02082,0.68062,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12955,0.77965,1739074593
0.38611,-1.16308,2.46529,-0.62318,0.02083,0.68063,0.32933,0.13203,-0.25075,-0.09883,0.60464,0.12956,0.77965,1739074594
0.38610,-1.16308,2.46531,-0.62318,0.02084,0.68061,0.32932,0.13202,-0.25076,-0.09884,0.60465,0.12955,0.77964,1739074594
0.38608,-1.16308,2.46531,-0.62317,0.02082,0.68062,0.32933,0.13202,-0.25075,-0.09882,0.60465,0.12955,0.77965,1739074594
0.38611,-1.16307,2.46531,-0.62317,0.02082,0.68063,0.32933,0.13203,-0.25076,-0.09882,0.60465,0.12956,0.77965,1739074594
0.38609,-1.16308,2.46531,-0.62317,0.02083,0.68060,0.32933,0.13202,-0.25075,-0.09883,0.60465,0.12955,0.77965,1739074594
0.38612,-1.16308,2.46530,-0.62317,0.02084,0.68062,0.32933,0.13203,-0.25075,-0.09883,0.60465,0.12956,0.77965,1739074595
0.38611,-1.16308,2.46530,-0.62318,0.02082,0.68064,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12955,0.77965,1739074595
0.38613,-1.16309,2.46529,-0.62318,0.02082,0.68064,0.32934,0.13204,-0.25075,-0.09883,0.60464,0.12956,0.77966,1739074595
0.38611,-1.16308,2.46530,-0.62319,0.02082,0.68064,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77965,1739074595
0.38610,-1.16309,2.46531,-0.62317,0.02081,0.68062,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77966,1739074595
0.38613,-1.16309,2.46531,-0.62317,0.02085,0.68060,0.32932,0.13203,-0.25075,-0.09885,0.60465,0.12956,0.77964,1739074596
0.38611,-1.16307,2.46531,-0.62317,0.02084,0.68060,0.32932,0.13203,-0.25076,-0.09884,0.60465,0.12956,0.77964,1739074596
0.38611,-1.16308,2.46531,-0.62316,0.02082,0.68064,0.32933,0.13203,-0.25075,-0.09881,0.60465,0.12955,0.77965,1739074596
0.38609,-1.16309,2.46531,-0.62316,0.02082,0.68061,0.32933,0.13202,-0.25075,-0.09882,0.60465,0.12955,0.77965,1739074596
0.38611,-1.16307,2.46531,-0.62316,0.02081,0.68064,0.32933,0.13203,-0.25075,-0.09881,0.60465,0.12955,0.77965,1739074596
0.38611,-1.16307,2.46530,-0.62318,0.02083,0.68063,0.32933,0.13203,-0.25075,-0.09883,0.60465,0.12955,0.77965,1739074597
0.38612,-1.16309,2.46530,-0.62318,0.02082,0.68065,0.32933,0.13204,-0.25075,-0.09882,0.60464,0.12956,0.77966,1739074597
0.38610,-1.16308,2.46529,-0.62318,0.02081,0.68063,0.32934,0.13203,-0.25075,-0.09882,0.60463,0.12956,0.77966,1739074597
0.38610,-1.16308,2.46530,-0.62318,0.02082,0.68061,0.32933,0.13203,-0.25075,-0.09883,0.60464,0.12956,0.77965,1739074597
0.38610,-1.16308,2.46531,-0.62318,0.02086,0.68062,0.32932,0.13202,-0.25076,-0.09884,0.60466,0.12955,0.77964,1739074597
0.38613,-1.16307,2.46529,-0.62316,0.02081,0.68064,0.32933,0.13204,-0.25075,-0.09882,0.60464,0.12956,0.77965,1739074598
0.38611,-1.16309,2.46531,-0.62317,0.02082,0.68063,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77965,1739074598
0.38609,-1.16309,2.46531,-0.62315,0.02082,0.68063,0.32933,0.13202,-0.25075,-0.09881,0.60465,0.12954,0.77965,1739074598
0.38610,-1.16309,2.46529,-0.62316,0.02082,0.68062,0.32934,0.13203,-0.25074,-0.09882,0.60463,0.12955,0.77966,1739074598
0.38611,-1.16308,2.46530,-0.62317,0.02082,0.68064,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77965,1739074598
0.38610,-1.16307,2.46530,-0.62316,0.02081,0.68064,0.32933,0.13203,-0.25075,-0.09881,0.60464,0.12955,0.77965,1739074599
0.38611,-1.16309,2.46529,-0.62319,0.02081,0.68064,0.32934,0.13204,-0.25074,-0.09882,0.60463,0.12957,0.77966,1739074599
0.38610,-1.16308,2.46531,-0.62318,0.02082,0.68062,0.32933,0.13203,-0.25075,-0.09882,0.60464,0.12956,0.77965,1739074599
0.38612,-1.16307,2.46530,-0.62316,0.02080,0.68061,0.32933,0.13204,-0.25075,-0.09882,0.60464,0.12957,0.77965,1739074599
0.38611,-1.16307,2.46530,-0.62318,0.02082,0.68064,0.32933,0.13203,-0.25075,-0.09882,0.60465,0.12955,0.77965,1739074599
