arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.26500,-0.32252,0.72626,0.59082,-0.49595,-0.49030,0.86390,-0.28754,0.01282,0.02060,-0.01490,-0.26323,0.96440,1739146747
-0.26503,-0.32247,0.72626,0.59060,-0.49605,-0.49018,0.86389,-0.28756,0.01280,0.02055,-0.01493,-0.26322,0.96440,1739146747
-0.26503,-0.32241,0.72623,0.59049,-0.49610,-0.49009,0.86390,-0.28755,0.01278,0.02053,-0.01495,-0.26321,0.96440,1739146747
-0.26233,-0.32126,0.73029,0.58080,-0.51340,-0.49072,0.86381,-0.28593,0.01272,0.01388,-0.01952,-0.26413,0.96419,1739146747
-0.26293,-0.31802,0.73159,0.56197,-0.52731,-0.49095,0.86360,-0.28623,0.01226,0.00366,-0.02311,-0.26388,0.96427,1739146747
-0.26356,-0.31333,0.73179,0.54484,-0.54379,-0.49541,0.86329,-0.28681,0.01152,-0.00807,-0.02712,-0.26446,0.96398,1739146748
-0.26416,-0.30856,0.73156,0.52609,-0.55795,-0.49560,0.86323,-0.28695,0.01065,-0.01817,-0.03095,-0.26394,0.96387,1739146748
-0.26480,-0.30372,0.73120,0.50819,-0.57425,-0.49936,0.86302,-0.28726,0.01013,-0.02978,-0.03532,-0.26399,0.96342,1739146748
-0.26577,-0.29909,0.73053,0.48961,-0.58874,-0.49951,0.86288,-0.28755,0.00973,-0.03971,-0.03971,-0.26343,0.96304,1739146748
-0.26665,-0.29433,0.72997,0.47262,-0.60502,-0.50579,0.86259,-0.28792,0.00937,-0.05202,-0.04398,-0.26352,0.96225,1739146748
-0.26799,-0.28938,0.72810,0.45607,-0.61929,-0.51185,0.86236,-0.28853,0.00925,-0.06376,-0.04800,-0.26340,0.96138,1739146749
-0.26938,-0.28345,0.72539,0.43926,-0.63270,-0.51634,0.86225,-0.28902,0.00858,-0.07472,-0.05183,-0.26291,0.96053,1739146749
-0.27078,-0.27704,0.72234,0.42267,-0.64709,-0.52230,0.86210,-0.28953,0.00784,-0.08633,-0.05587,-0.26259,0.95941,1739146749
-0.27231,-0.27145,0.71988,0.40666,-0.66195,-0.52506,0.86180,-0.29010,0.00756,-0.09613,-0.06068,-0.26237,0.95825,1739146749
-0.27368,-0.26507,0.71650,0.39173,-0.67552,-0.53407,0.86162,-0.29053,0.00681,-0.10827,-0.06419,-0.26218,0.95678,1739146749
-0.27578,-0.25905,0.71327,0.37355,-0.68914,-0.53983,0.86138,-0.29115,0.00643,-0.12023,-0.06832,-0.26132,0.95529,1739146750
-0.27712,-0.25215,0.70891,0.35806,-0.70136,-0.54176,0.86139,-0.29127,0.00554,-0.12897,-0.07247,-0.26029,0.95413,1739146750
-0.27906,-0.24525,0.70306,0.34359,-0.71217,-0.54989,0.86135,-0.29194,0.00520,-0.14009,-0.07591,-0.25977,0.95244,1739146750
-0.28127,-0.23720,0.69622,0.32917,-0.72564,-0.55893,0.86111,-0.29289,0.00485,-0.15180,-0.08032,-0.25986,0.95025,1739146750
