arm0_shoulder_yaw,arm0_shoulder_pitch,arm0_elbow_pitch,arm0_elbow_roll,arm0_wrist_pitch,arm0_wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp
-0.22865,0.31411,0.93218,-0.22949,-1.15647,0.06512,0.69748,-0.12010,-0.48780,-0.00347,0.04876,-0.00873,0.99877,1739070903
-0.22862,0.31409,0.93219,-0.22947,-1.15644,0.06512,0.69748,-0.12009,-0.48780,-0.00347,0.04877,-0.00873,0.99877,1739070903
-0.22858,0.31254,0.93339,-0.22952,-1.15640,0.06512,0.69778,-0.12012,-0.48718,-0.00352,0.04863,-0.00869,0.99877,1739070903
-0.22694,0.27751,0.96914,-0.22969,-1.13538,0.06516,0.70056,-0.11996,-0.48018,-0.00344,0.05945,-0.00850,0.99819,1739070904
-0.22617,0.25028,0.99779,-0.22969,-1.11721,0.06520,0.70196,-0.12009,-0.47533,-0.00325,0.06918,-0.00873,0.99756,1739070904
-0.22533,0.22064,1.02839,-0.22972,-1.09659,0.06518,0.70332,-0.12021,-0.46991,-0.00315,0.07991,-0.00899,0.99676,1739070904
-0.22471,0.19524,1.05326,-0.22979,-1.07668,0.06517,0.70462,-0.12048,-0.46512,-0.00322,0.08955,-0.00933,0.99593,1739070904
-0.22432,0.16708,1.08014,-0.22980,-1.05563,0.06519,0.70602,-0.12099,-0.45928,-0.00333,0.09938,-0.00987,0.99500,1739070904
-0.22359,0.14127,1.10447,-0.22982,-1.03708,0.06518,0.70720,-0.12115,-0.45361,-0.00350,0.10786,-0.01014,0.99411,1739070905
-0.22264,0.11318,1.13016,-0.23019,-1.01630,0.06514,0.70849,-0.12119,-0.44720,-0.00387,0.11700,-0.01025,0.99307,1739070905
-0.22247,0.08775,1.15235,-0.23609,-0.99472,0.06523,0.70957,-0.12089,-0.44154,-0.00544,0.12630,-0.00831,0.99194,1739070905
-0.22128,0.06362,1.17005,-0.23824,-0.96812,0.06547,0.71148,-0.12081,-0.43595,-0.00655,0.13640,-0.00783,0.99060,1739070905
-0.21994,0.03909,1.18690,-0.23868,-0.94070,0.06697,0.71359,-0.12098,-0.42983,-0.00682,0.14623,-0.00821,0.98919,1739070905
-0.21882,0.01370,1.20383,-0.24022,-0.91221,0.06923,0.71566,-0.12120,-0.42327,-0.00706,0.15622,-0.00837,0.98766,1739070906
-0.21807,-0.00949,1.21979,-0.24384,-0.88528,0.07255,0.71698,-0.12120,-0.41761,-0.00716,0.16607,-0.00788,0.98606,1739070906
-0.21687,-0.03240,1.23517,-0.24559,-0.85948,0.07321,0.71830,-0.12116,-0.41166,-0.00820,0.17516,-0.00778,0.98447,1739070906
-0.21616,-0.05355,1.24719,-0.25229,-0.82800,0.07847,0.71957,-0.12099,-0.40673,-0.00845,0.18640,-0.00657,0.98241,1739070906
-0.21489,-0.07255,1.25521,-0.25657,-0.79621,0.08495,0.72146,-0.12096,-0.40176,-0.00781,0.19679,-0.00644,0.98039,1739070906
-0.21361,-0.09103,1.26255,-0.26225,-0.76601,0.08934,0.72334,-0.12075,-0.39656,-0.00866,0.20635,-0.00559,0.97842,1739070907
-0.21210,-0.11186,1.27201,-0.26570,-0.73306,0.09462,0.72482,-0.12076,-0.39087,-0.00859,0.21703,-0.00593,0.97611,1739070907
-0.21106,-0.12972,1.27847,-0.27373,-0.70133,0.09990,0.72622,-0.12055,-0.38595,-0.00989,0.22725,-0.00474,0.97378,1739070907
-0.20951,-0.14492,1.27982,-0.27986,-0.66818,0.10802,0.72852,-0.12054,-0.38107,-0.00968,0.23687,-0.00474,0.97148,1739070907
-0.20784,-0.16000,1.28091,-0.28592,-0.63469,0.11588,0.73067,-0.12052,-0.37614,-0.00971,0.24655,-0.00492,0.96907,1739070907
-0.20634,-0.17614,1.28338,-0.29271,-0.60093,0.12254,0.73239,-0.12057,-0.37094,-0.01061,0.25651,-0.00498,0.96647,1739070908
-0.20498,-0.19114,1.28363,-0.30136,-0.56697,0.13287,0.73439,-0.12071,-0.36564,-0.01057,0.26606,-0.00519,0.96388,1739070908
-0.20357,-0.20295,1.27941,-0.31878,-0.53158,0.15129,0.73674,-0.12025,-0.36112,-0.00995,0.27599,-0.00378,0.96110,1739070908
-0.20151,-0.21425,1.27479,-0.33550,-0.49454,0.16392,0.73881,-0.11964,-0.35694,-0.01230,0.28668,-0.00217,0.95795,1739070908
-0.20046,-0.22601,1.27118,-0.35292,-0.46018,0.18625,0.74061,-0.11975,-0.35229,-0.01032,0.29631,-0.00249,0.95503,1739070908
-0.19877,-0.23392,1.26261,-0.37256,-0.42630,0.20697,0.74312,-0.11957,-0.34827,-0.01040,0.30523,-0.00210,0.95222,1739070909
-0.19687,-0.24074,1.25126,-0.39711,-0.38889,0.23213,0.74586,-0.11944,-0.34434,-0.01088,0.31512,-0.00182,0.94899,1739070909
-0.19499,-0.24875,1.24006,-0.42622,-0.35047,0.26230,0.74861,-0.11948,-0.33961,-0.01135,0.32504,-0.00195,0.94563,1739070909
-0.19318,-0.25467,1.22492,-0.47173,-0.31051,0.30921,0.75177,-0.11932,-0.33502,-0.01121,0.33534,-0.00139,0.94203,1739070909
-0.19162,-0.25886,1.21046,-0.52555,-0.27606,0.36371,0.75448,-0.11907,-0.33114,-0.01116,0.34444,-0.00053,0.93874,1739070909
-0.18946,-0.26308,1.19562,-0.58129,-0.23961,0.42086,0.75708,-0.11917,-0.32712,-0.01182,0.35397,-0.00141,0.93518,1739070910
